prediction_fixed,prediction_random,prediction_sc,prediction_MC,prediction_EN,prediction_ENT,prediction_DID,prediction_ADH,test_outcome,prediction_mc
69.55542273,72.7829999,77.309639,86.93868034,79.29832366,84.26862354,86.49166667,85.52096792,70.35,70.9462771
70.10839305,74.61194005,73.44774973,86.88222199,79.27859625,83.92039141,87.275,85.35423238,67.55,71.4750539
70.10310746,74.33478239,64.45585367,82.77924841,79.28974624,81.14747824,81.71547619,79.24554619,67.2,71.06992875
70.15226023,74.51899124,85.96598366,79.26947467,79.21442972,76.26303282,79.78928571,70.60831912,68.15,70.60410707
69.87485013,73.79173022,82.03331427,79.50405924,79.25613618,78.17838194,78.77261905,76.07353013,70.75,70.6081554
69.77381408,72.81458491,72.92791936,84.56249847,79.26171226,81.4412643,85.05595238,78.3622003,66.05,70.7424915
