,,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population
Rural,-2018,51.7%,"115,000",56.2%,"99,000",40.6%,"53,000",100.0*,"135,000",62.2%,"54,000",100.0*,"64,000",100.0*,"115,000",29.3%,"29,000",23.2*,"18,000",100.0*,"97,000",100.0*,"177,000",2.1*,"41,000",-,-,8.4%,"95,000",-,-,6.5*,"50,000",15.6*,"76,000",12.2*,"52,000",4.5*,"11,000",16.9*,"23,000",4.1*,"62,000",28.3%,"109,000",3.2*,"7,000",61.0*,"114,000",20.8%,"205,000",22.5%,"193,000",10.5*,"78,000",17.1*,"93,000",45.8%,"216,000",13.5*,"37,000",9.1*,"13,000",33.6%,"50,000",8.6*,"72,000",12.9*,"56,000",16.9*,"44,000",54.0%,"141,000",24.1%,"101,000",20.7*,"13,000",0.7%,"75,000",-,-,7.1%,"228,000",16.2%,"344,000",15.4%,"365,000",26.6*,"47,000",10.2%,"3,969,000"
Rural,-2019,31.0%,"65,000",60.9%,"107,000",36.9%,"48,000",100.0*,"133,000",50.3%,"43,000",100.0*,"63,000",99.6*,"114,000",17.2%,"17,000",10.3%,"8,000",100.0*,"97,000",100.0*,"177,000",0.1*,"1,000",-,-,4.6%,"52,000",-,-,3.4*,"26,000",16.2%,"78,000",12.5%,"53,000",3.2*,"8,000",9.2*,"12,000",4.2%,"63,000",25.5%,"99,000",6.0*,"13,000",51.5%,"96,000",11.3%,"113,000",21.9%,"188,000",16.8%,"126,000",10.1%,"55,000",33.4%,"158,000",32.5%,"90,000",15.4%,"22,000",32.1%,"48,000",4.1%,"34,000",14.1%,"61,000",10.1%,"26,000",47.2%,"122,000",29.5%,"124,000",3.0*,"2,000",0.6%,"62,000",2.2%,"68,000",4.6%,"147,000",15.7%,"334,000",20.0%,"477,000",31.7%,"56,000",9.5%,"3,688,000"
Rural,-2020,36.9%,"74,000",54.1%,"95,000",52.5%,"67,000",78.4%,"104,000",80.1%,"68,000",100.0*,"63,000",100.0*,"115,000",37.2%,"37,000",41.3%,"32,000",100.0*,"96,000",100.0*,"176,000",2.1%,"40,000",0.9*,"14,000",7.8%,"88,000",-,-,6.8%,"52,000",25.6%,"123,000",10.9%,"46,000",6.3%,"16,000",25.6%,"34,000",3.7%,"56,000",27.9%,"109,000",12.9%,"28,000",69.7%,"133,000",25.1%,"252,000",22.7%,"195,000",21.7%,"164,000",16.9%,"92,000",45.8%,"217,000",37.9%,"106,000",23.5%,"34,000",62.5%,"93,000",17.6%,"146,000",9.9%,"43,000",24.3%,"63,000",38.7%,"100,000",21.1%,"88,000",23.9%,"15,000",1.8%,"181,000",1.7%,"54,000",5.4%,"176,000",11.8%,"252,000",16.7%,"400,000",44.7%,"78,000",11.4%,"4,416,000"
Rural,-2021,36.1%,"72,000",57.2%,"99,000",62.6%,"79,000",100.0*,"130,000",100.0*,"84,000",100.0*,"62,000",100.0*,"114,000",11.1%,"11,000",61.5%,"47,000",100.0*,"95,000",100.0*,"174,000",-,-,-,-,4.9%,"55,000",-,-,3.0%,"22,000",15.8%,"75,000",11.4%,"48,000",2.2%,"6,000",20.2%,"27,000",1.0%,"16,000",18.2%,"71,000",1.6%,"3,000",50.3%,"95,000",25.9%,"256,000",15.6%,"133,000",15.9%,"119,000",6.1%,"33,000",28.1%,"132,000",31.6%,"87,000",8.4%,"12,000",32.2%,"47,000",8.3%,"68,000",11.0%,"47,000",18.6%,"48,000",60.4%,"154,000",18.5%,"76,000",6.1%,"4,000",1.0%,"94,000",-,-,3.0%,"96,000",14.7%,"310,000",13.6%,"322,000",33.4%,"58,000",9.1%,"3,485,000"
Rural,-2022,31.2%,"63,000",56.9%,"101,000",57.4%,"74,000",100.0*,"134,000",100.0*,"87,000",100.0*,"66,000",100.0*,"114,000",23.4%,"23,000",63.3%,"51,000",100.0*,"99,000",100.0*,"179,000",0.2*,"4,000",-,-,4.5%,"51,000",-,-,4.1%,"30,000",12.1%,"57,000",18.6%,"80,000",3.7%,"9,000",14.7%,"19,000",2.7%,"42,000",24.6%,"100,000",4.7%,"10,000",57.4%,"108,000",31.1%,"307,000",23.3%,"200,000",15.1%,"115,000",10.9*,"59,000",26.3%,"123,000",29.5%,"82,000",8.7%,"12,000",39.3%,"58,000",3.5%,"29,000",10.8%,"46,000",17.2%,"44,000",63.2%,"165,000",31.3%,"128,000",6.0%,"4,000",0.7%,"63,000",-,-,4.0%,"126,000",14.2%,"304,000",13.3%,"317,000",26.7%,"45,000",9.8%,"3,727,000"
Rural,-2023,26.7%,"54,000",55.0%,"97,000",59.1%,"77,000",100.0*,"135,000",100.0*,"88,000",100.0*,"66,000",100.0*,"114,000",22.7%,"22,000",53.3%,"43,000",100.0*,"98,000",100.0*,"182,000",0.2*,"4,000",-,-,5.1%,"58,000",-,-,2.3%,"17,000",13.6%,"64,000",24.5%,"107,000",-,-,18.0%,"23,000",4.3%,"67,000",26.7%,"108,000",3.2%,"7,000",74.9%,"139,000",22.0%,"218,000",21.7%,"191,000",24.9%,"191,000",17.5%,"94,000",18.4%,"87,000",23.5%,"65,000",12.2*,"17,000",46.1%,"70,000",3.0%,"24,000",6.8%,"28,000",16.6%,"41,000",64.7%,"171,000",30.3%,"126,000",8.0%,"5,000",1.1%,"109,000",-,-,4.2%,"131,000",13.8%,"293,000",13.9%,"333,000",24.1%,"42,000",10.0%,"3,806,000"
Total,-2011,100.0%,"216,000",100.0%,"175,000",100.0%,"130,000",100.0%,"141,000",100.0%,"86,000",100.0%,"63,000",100.0%,"112,000",100.0%,"95,000",100.0%,"71,000",100.0%,"98,000",100.0%,"181,000",100.0%,"1,765,000",100.0%,"1,482,000",100.0%,"1,045,000",100.0%,"787,000",100.0%,"715,000",100.0%,"476,000",100.0%,"401,000",100.0%,"245,000",100.0%,"132,000",100.0%,"1,402,000",100.0%,"348,000",100.0%,"195,000",100.0%,"181,000",100.0%,"918,000",100.0%,"800,000",100.0%,"675,000",100.0%,"511,000",100.0%,"441,000",100.0%,"253,000",100.0%,"138,000",100.0%,"142,000",100.0%,"816,000",100.0%,"407,000",100.0%,"253,000",100.0%,"253,000",100.0%,"396,000",100.0%,"55,000",100.0%,"9,687,000",100.0%,"2,986,000",100.0%,"3,014,000",100.0%,"2,006,000",100.0%,"2,173,000",100.0%,"162,000",100.0%,"36,629,000"
Total,-2012,100.0%,"216,000",100.0%,"176,000",100.0%,"130,000",100.0%,"137,000",100.0%,"86,000",100.0%,"63,000",100.0%,"112,000",100.0%,"94,000",100.0%,"72,000",100.0%,"97,000",100.0%,"178,000",100.0%,"1,797,000",100.0%,"1,501,000",100.0%,"1,059,000",100.0%,"795,000",100.0%,"727,000",100.0%,"478,000",100.0%,"402,000",100.0%,"245,000",100.0%,"133,000",100.0%,"1,413,000",100.0%,"357,000",100.0%,"197,000",100.0%,"179,000",100.0%,"925,000",100.0%,"807,000",100.0%,"682,000",100.0%,"516,000",100.0%,"446,000",100.0%,"256,000",100.0%,"136,000",100.0%,"142,000",100.0%,"822,000",100.0%,"408,000",100.0%,"256,000",100.0%,"252,000",100.0%,"399,000",100.0%,"56,000",100.0%,"9,736,000",100.0%,"3,027,000",100.0%,"3,039,000",100.0%,"2,020,000",100.0%,"2,198,000",100.0%,"165,000",100.0%,"36,931,000"
Total,-2013,100.0%,"216,000",100.0%,"175,000",100.0%,"130,000",100.0%,"138,000",100.0%,"86,000",100.0%,"63,000",100.0%,"113,000",100.0%,"95,000",100.0%,"72,000",100.0%,"97,000",100.0%,"177,000",100.0%,"1,821,000",100.0%,"1,523,000",100.0%,"1,071,000",100.0%,"805,000",100.0%,"732,000",100.0%,"480,000",100.0%,"409,000",100.0%,"246,000",100.0%,"133,000",100.0%,"1,418,000",100.0%,"360,000",100.0%,"199,000",100.0%,"181,000",100.0%,"935,000",100.0%,"816,000",100.0%,"686,000",100.0%,"519,000",100.0%,"450,000",100.0%,"257,000",100.0%,"135,000",100.0%,"143,000",100.0%,"827,000",100.0%,"413,000",100.0%,"259,000",100.0%,"253,000",100.0%,"400,000",100.0%,"57,000",100.0%,"9,836,000",100.0%,"3,054,000",100.0%,"3,068,000",100.0%,"2,028,000",100.0%,"2,218,000",100.0%,"165,000",100.0%,"37,258,000"
Total,-2014,100.0%,"219,000",100.0%,"176,000",100.0%,"129,000",100.0%,"138,000",100.0%,"86,000",100.0%,"63,000",100.0%,"113,000",100.0%,"95,000",100.0%,"72,000",100.0%,"97,000",100.0%,"177,000",100.0%,"1,842,000",100.0%,"1,543,000",100.0%,"1,085,000",100.0%,"812,000",100.0%,"738,000",100.0%,"484,000",100.0%,"413,000",100.0%,"249,000",100.0%,"135,000",100.0%,"1,433,000",100.0%,"365,000",100.0%,"200,000",100.0%,"182,000",100.0%,"945,000",100.0%,"822,000",100.0%,"695,000",100.0%,"523,000",100.0%,"453,000",100.0%,"259,000",100.0%,"135,000",100.0%,"144,000",100.0%,"832,000",100.0%,"417,000",100.0%,"260,000",100.0%,"254,000",100.0%,"401,000",100.0%,"58,000",100.0%,"9,890,000",100.0%,"3,086,000",100.0%,"3,102,000",100.0%,"2,045,000",100.0%,"2,247,000",100.0%,"167,000",100.0%,"37,582,000"
Total,-2015,100.0%,"214,000",100.0%,"176,000",100.0%,"129,000",100.0%,"142,000",100.0%,"88,000",100.0%,"64,000",100.0%,"111,000",100.0%,"101,000",100.0%,"75,000",100.0%,"103,000",100.0%,"168,000",100.0%,"1,907,000",100.0%,"1,602,000",100.0%,"1,071,000",100.0%,"837,000",100.0%,"748,000",100.0%,"477,000",100.0%,"425,000",100.0%,"245,000",100.0%,"130,000",100.0%,"1,446,000",100.0%,"367,000",100.0%,"216,000",100.0%,"188,000",100.0%,"980,000",100.0%,"857,000",100.0%,"739,000",100.0%,"504,000",100.0%,"455,000",100.0%,"249,000",100.0%,"126,000",100.0%,"137,000",100.0%,"818,000",100.0%,"440,000",100.0%,"263,000",100.0%,"267,000",100.0%,"412,000",100.0%,"53,000",100.0%,"9,949,000",100.0%,"3,145,000",100.0%,"3,155,000",100.0%,"2,029,000",100.0%,"2,299,000",100.0%,"183,000",100.0%,"38,092,000"
Total,-2016,100.0%,"236,000",100.0%,"165,000",100.0%,"123,000",100.0%,"169,000",100.0%,"92,000",100.0%,"58,000",100.0%,"116,000",100.0%,"93,000",100.0%,"63,000",100.0%,"88,000",100.0%,"171,000",100.0%,"1,758,000",100.0%,"1,592,000",100.0%,"1,167,000",100.0%,"939,000",100.0%,"747,000",100.0%,"519,000",100.0%,"393,000",100.0%,"247,000",100.0%,"151,000",100.0%,"1,426,000",100.0%,"404,000",100.0%,"230,000",100.0%,"185,000",100.0%,"905,000",100.0%,"917,000",100.0%,"692,000",100.0%,"516,000",100.0%,"494,000",100.0%,"283,000",100.0%,"119,000",100.0%,"156,000",100.0%,"825,000",100.0%,"410,000",100.0%,"280,000",100.0%,"301,000",100.0%,"397,000",100.0%,"54,000",100.0%,"9,986,000",100.0%,"2,993,000",100.0%,"3,182,000",100.0%,"2,153,000",100.0%,"2,403,000",100.0%,"173,000",100.0%,"38,373,000"
Total,-2017,100.0%,"221,000",100.0%,"176,000",100.0%,"131,000",100.0%,"135,000",100.0%,"87,000",100.0%,"64,000",100.0%,"115,000",100.0%,"97,000",100.0%,"75,000",100.0%,"97,000",100.0%,"178,000",100.0%,"1,912,000",100.0%,"1,608,000",100.0%,"1,126,000",100.0%,"854,000",100.0%,"762,000",100.0%,"492,000",100.0%,"422,000",100.0%,"253,000",100.0%,"136,000",100.0%,"1,490,000",100.0%,"377,000",100.0%,"212,000",100.0%,"184,000",100.0%,"976,000",100.0%,"848,000",100.0%,"731,000",100.0%,"544,000",100.0%,"467,000",100.0%,"270,000",100.0%,"139,000",100.0%,"148,000",100.0%,"843,000",100.0%,"431,000",100.0%,"265,000",100.0%,"260,000",100.0%,"419,000",100.0%,"58,000",100.0%,"10,088,000",100.0%,"3,153,000",100.0%,"3,210,000",100.0%,"2,116,000",100.0%,"2,339,000",100.0%,"176,000",100.0%,"38,681,000"
Total,-2018,100.0%,"222,000",100.0%,"176,000",100.0%,"131,000",100.0%,"135,000",100.0%,"87,000",100.0%,"64,000",100.0%,"115,000",100.0%,"98,000",100.0%,"76,000",100.0%,"97,000",100.0%,"177,000",100.0%,"1,923,000",100.0%,"1,619,000",100.0%,"1,133,000",100.0%,"861,000",100.0%,"763,000",100.0%,"489,000",100.0%,"424,000",100.0%,"252,000",100.0%,"135,000",100.0%,"1,505,000",100.0%,"384,000",100.0%,"214,000",100.0%,"187,000",100.0%,"987,000",100.0%,"856,000",100.0%,"740,000",100.0%,"547,000",100.0%,"471,000",100.0%,"275,000",100.0%,"142,000",100.0%,"148,000",100.0%,"843,000",100.0%,"434,000",100.0%,"264,000",100.0%,"260,000",100.0%,"420,000",100.0%,"61,000",100.0%,"10,094,000",100.0%,"3,168,000",100.0%,"3,233,000",100.0%,"2,130,000",100.0%,"2,368,000",100.0%,"177,000",100.0%,"38,885,000"
Total,-2019,100.0%,"210,000",100.0%,"175,000",100.0%,"129,000",100.0%,"133,000",100.0%,"86,000",100.0%,"63,000",100.0%,"115,000",100.0%,"102,000",100.0%,"77,000",100.0%,"97,000",100.0%,"177,000",100.0%,"1,929,000",100.0%,"1,627,000",100.0%,"1,136,000",100.0%,"871,000",100.0%,"766,000",100.0%,"484,000",100.0%,"425,000",100.0%,"252,000",100.0%,"134,000",100.0%,"1,520,000",100.0%,"390,000",100.0%,"214,000",100.0%,"187,000",100.0%,"995,000",100.0%,"859,000",100.0%,"750,000",100.0%,"547,000",100.0%,"472,000",100.0%,"276,000",100.0%,"142,000",100.0%,"148,000",100.0%,"833,000",100.0%,"433,000",100.0%,"261,000",100.0%,"259,000",100.0%,"420,000",100.0%,"62,000",100.0%,"10,038,000",100.0%,"3,150,000",100.0%,"3,238,000",100.0%,"2,129,000",100.0%,"2,378,000",100.0%,"176,000",100.0%,"38,864,000"
Total,-2020,100.0%,"202,000",100.0%,"175,000",100.0%,"128,000",100.0%,"132,000",100.0%,"85,000",100.0%,"63,000",100.0%,"115,000",100.0%,"100,000",100.0%,"78,000",100.0%,"96,000",100.0%,"176,000",100.0%,"1,928,000",100.0%,"1,628,000",100.0%,"1,137,000",100.0%,"872,000",100.0%,"764,000",100.0%,"480,000",100.0%,"425,000",100.0%,"250,000",100.0%,"133,000",100.0%,"1,532,000",100.0%,"393,000",100.0%,"214,000",100.0%,"190,000",100.0%,"1,002,000",100.0%,"861,000",100.0%,"757,000",100.0%,"548,000",100.0%,"475,000",100.0%,"278,000",100.0%,"143,000",100.0%,"149,000",100.0%,"829,000",100.0%,"432,000",100.0%,"259,000",100.0%,"258,000",100.0%,"418,000",100.0%,"62,000",100.0%,"9,990,000",100.0%,"3,143,000",100.0%,"3,241,000",100.0%,"2,136,000",100.0%,"2,396,000",100.0%,"176,000",100.0%,"38,849,000"
Total,-2021,100.0%,"199,000",100.0%,"173,000",100.0%,"126,000",100.0%,"130,000",100.0%,"84,000",100.0%,"62,000",100.0%,"114,000",100.0%,"99,000",100.0%,"77,000",100.0%,"95,000",100.0%,"174,000",100.0%,"1,907,000",100.0%,"1,610,000",100.0%,"1,125,000",100.0%,"863,000",100.0%,"756,000",100.0%,"474,000",100.0%,"421,000",100.0%,"247,000",100.0%,"132,000",100.0%,"1,515,000",100.0%,"388,000",100.0%,"212,000",100.0%,"188,000",100.0%,"991,000",100.0%,"852,000",100.0%,"749,000",100.0%,"542,000",100.0%,"470,000",100.0%,"276,000",100.0%,"141,000",100.0%,"147,000",100.0%,"820,000",100.0%,"427,000",100.0%,"256,000",100.0%,"255,000",100.0%,"413,000",100.0%,"62,000",100.0%,"9,883,000",100.0%,"3,109,000",100.0%,"3,207,000",100.0%,"2,113,000",100.0%,"2,371,000",100.0%,"173,000",100.0%,"38,431,000"
Total,-2022,100.0%,"202,000",100.0%,"177,000",100.0%,"129,000",100.0%,"134,000",100.0%,"87,000",100.0%,"66,000",100.0%,"114,000",100.0%,"98,000",100.0%,"81,000",100.0%,"99,000",100.0%,"179,000",100.0%,"1,849,000",100.0%,"1,595,000",100.0%,"1,136,000",100.0%,"808,000",100.0%,"729,000",100.0%,"469,000",100.0%,"429,000",100.0%,"245,000",100.0%,"130,000",100.0%,"1,542,000",100.0%,"405,000",100.0%,"215,000",100.0%,"187,000",100.0%,"988,000",100.0%,"856,000",100.0%,"765,000",100.0%,"541,000",100.0%,"469,000",100.0%,"279,000",100.0%,"139,000",100.0%,"148,000",100.0%,"817,000",100.0%,"424,000",100.0%,"254,000",100.0%,"261,000",100.0%,"411,000",100.0%,"65,000",100.0%,"9,613,000",100.0%,"3,100,000",100.0%,"3,171,000",100.0%,"2,134,000",100.0%,"2,385,000",100.0%,"167,000",100.0%,"38,092,000"
Total,-2023,100.0%,"202,000",100.0%,"176,000",100.0%,"130,000",100.0%,"135,000",100.0%,"88,000",100.0%,"66,000",100.0%,"114,000",100.0%,"97,000",100.0%,"80,000",100.0%,"98,000",100.0%,"182,000",100.0%,"1,861,000",100.0%,"1,584,000",100.0%,"1,133,000",100.0%,"821,000",100.0%,"738,000",100.0%,"470,000",100.0%,"437,000",100.0%,"247,000",100.0%,"129,000",100.0%,"1,549,000",100.0%,"406,000",100.0%,"212,000",100.0%,"186,000",100.0%,"991,000",100.0%,"882,000",100.0%,"767,000",100.0%,"538,000",100.0%,"470,000",100.0%,"277,000",100.0%,"144,000",100.0%,"153,000",100.0%,"811,000",100.0%,"414,000",100.0%,"244,000",100.0%,"264,000",100.0%,"417,000",100.0%,"65,000",100.0%,"9,581,000",100.0%,"3,068,000",100.0%,"3,135,000",100.0%,"2,116,000",100.0%,"2,396,000",100.0%,"175,000",100.0%,"38,047,000"
