,,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population
Urban,-2021,63.9%,"127,000",42.8%,"74,000",37.4%,"47,000",-,-,-,-,-,-,-,-,88.9%,"88,000",38.5%,"30,000",-,-,-,-,99.9*,"1,905,000",100.0*,"1,610,000",95.1%,"1,070,000",100.0*,"863,000",97.0%,"734,000",84.2%,"399,000",88.6%,"373,000",97.8%,"241,000",79.8%,"105,000",99.0%,"1,500,000",81.8%,"318,000",98.4%,"209,000",49.7%,"93,000",74.1%,"735,000",84.4%,"719,000",84.1%,"630,000",93.9%,"509,000",71.9%,"338,000",68.4%,"188,000",91.6%,"129,000",67.8%,"100,000",91.7%,"752,000",89.0%,"380,000",81.4%,"208,000",39.6%,"101,000",81.5%,"337,000",93.9%,"58,000",99.0%,"9,789,000",99.9*,"3,107,000",97.0%,"3,111,000",85.3%,"1,803,000",86.4%,"2,050,000",66.6%,"115,000",90.9%,"34,945,000"
Urban,-2022,68.8%,"139,000",43.1%,"76,000",42.6%,"55,000",-,-,-,-,-,-,-,-,76.6%,"75,000",36.7%,"30,000",-,-,-,-,99.8*,"1,845,000",100.0*,"1,595,000",95.5%,"1,085,000",100.0*,"808,000",95.9%,"700,000",87.9%,"412,000",81.4%,"350,000",96.3%,"236,000",85.3%,"111,000",97.3%,"1,500,000",75.4%,"305,000",95.3%,"205,000",42.6%,"80,000",68.9%,"681,000",76.7%,"657,000",84.9%,"650,000",89.1*,"481,000",73.7%,"346,000",70.5%,"197,000",91.3%,"127,000",60.7%,"90,000",96.5%,"788,000",89.2%,"379,000",82.8%,"210,000",36.8%,"96,000",68.7%,"282,000",94.0%,"61,000",99.3%,"9,549,000",100.0*,"3,100,000",96.0%,"3,045,000",85.8%,"1,830,000",86.7%,"2,068,000",73.3%,"122,000",90.2%,"34,364,000"
Urban,-2023,73.3%,"148,000",45.0%,"79,000",40.9%,"53,000",-,-,-,-,-,-,-,-,77.3%,"75,000",46.7%,"38,000",-,-,-,-,99.8*,"1,857,000",100.0*,"1,584,000",94.9%,"1,075,000",100.0*,"821,000",97.7%,"721,000",86.4%,"406,000",75.5%,"330,000",99.6*,"246,000",82.0%,"106,000",95.7%,"1,483,000",73.3%,"298,000",96.8%,"205,000",25.1%,"47,000",78.0%,"773,000",78.3%,"691,000",75.1%,"576,000",82.5%,"444,000",81.6%,"383,000",76.5%,"212,000",87.8*,"126,000",53.9%,"82,000",97.0%,"787,000",93.2%,"386,000",83.4%,"203,000",35.3%,"93,000",69.7%,"290,000",92.0%,"60,000",98.9%,"9,472,000",100.0*,"3,068,000",95.8%,"3,004,000",86.2%,"1,823,000",86.1%,"2,064,000",75.9%,"133,000",90.0%,"34,241,000"
Rural,-2011,50.2%,"109,000",57.8%,"101,000",65.9%,"86,000",100.0*,"141,000",67.7%,"58,000",100.0*,"63,000",100.0*,"112,000",22.9%,"22,000",59.3%,"42,000",100.0*,"98,000",100.0*,"181,000",1.8*,"32,000",-,-,6.3%,"66,000",-,-,4.1*,"30,000",17.1%,"81,000",13.8%,"55,000",2.2*,"5,000",17.7%,"23,000",3.3*,"46,000",29.4%,"103,000",5.5%,"11,000",70.3%,"127,000",19.0%,"174,000",20.6%,"165,000",28.2%,"190,000",13.3%,"68,000",31.3%,"138,000",29.3%,"74,000",17.1*,"24,000",49.0%,"69,000",4.8%,"39,000",12.0%,"49,000",19.4%,"49,000",54.3%,"137,000",31.6%,"125,000",11.1*,"6,000",1.0%,"92,000",-,-,4.5%,"135,000",15.4%,"310,000",12.8%,"277,000",27.4%,"44,000",10.3%,"3,766,000"
Rural,-2012,60.4%,"130,000",51.1%,"90,000",54.7%,"71,000",100.0*,"137,000",62.0%,"53,000",100.0*,"63,000",100.0*,"112,000",16.7%,"16,000",49.7%,"36,000",100.0*,"97,000",100.0*,"178,000",1.8*,"33,000",-,-,4.5%,"47,000",-,-,6.1%,"44,000",22.5%,"108,000",10.5%,"42,000",2.1*,"5,000",23.9%,"32,000",2.1*,"30,000",24.5%,"87,000",8.8*,"17,000",65.9%,"118,000",22.7%,"210,000",19.7%,"159,000",19.2%,"131,000",15.6%,"81,000",32.3%,"144,000",32.1%,"82,000",20.8*,"28,000",37.1%,"53,000",8.6%,"70,000",15.3%,"62,000",12.2%,"31,000",57.8%,"146,000",33.2%,"132,000",15.9*,"9,000",0.7%,"67,000",-,-,6.5%,"198,000",14.2%,"287,000",9.0%,"197,000",38.1%,"63,000",10.0%,"3,698,000"
Rural,-2013,34.3%,"74,000",61.9%,"109,000",61.4%,"80,000",100.0*,"138,000",66.7%,"57,000",100.0*,"63,000",100.0*,"113,000",20.4%,"20,000",47.1%,"34,000",100.0*,"97,000",100.0*,"177,000",1.3*,"24,000",-,-,5.6%,"60,000",-,-,3.9%,"29,000",21.5%,"103,000",16.5%,"67,000",3.3*,"8,000",10.6%,"14,000",3.9*,"56,000",42.6%,"153,000",10.0%,"20,000",68.2%,"124,000",34.0%,"318,000",14.5%,"118,000",11.1%,"76,000",9.7%,"50,000",33.4%,"150,000",20.7%,"53,000",19.0*,"26,000",36.9%,"53,000",10.9%,"90,000",13.5%,"56,000",15.8%,"41,000",50.1%,"127,000",38.1%,"153,000",12.8*,"7,000",0.7%,"66,000",-,-,4.6%,"142,000",10.6%,"214,000",14.0%,"309,000",31.1%,"51,000",10.0%,"3,725,000"
Rural,-2014,53.5%,"117,000",66.6%,"117,000",67.5%,"87,000",100.0*,"138,000",60.6%,"52,000",100.0*,"63,000",100.0*,"113,000",17.3%,"16,000",46.9%,"34,000",100.0*,"97,000",100.0*,"177,000",0.9*,"16,000",-,-,9.4*,"102,000",-,-,4.3*,"32,000",20.2%,"98,000",10.9*,"45,000",3.5*,"9,000",14.5*,"20,000",1.5*,"22,000",35.3%,"129,000",8.8*,"18,000",71.9%,"131,000",26.5%,"251,000",16.0%,"132,000",12.4*,"86,000",13.7*,"71,000",17.9%,"81,000",23.1%,"60,000",18.0%,"24,000",34.7%,"50,000",8.1%,"68,000",3.5*,"15,000",23.4%,"61,000",35.4%,"90,000",26.9%,"108,000",16.2%,"9,000",1.1*,"107,000",0.2*,"5,000",5.8%,"179,000",17.7%,"362,000",12.8%,"287,000",20.0%,"33,000",9.9%,"3,713,000"
Rural,-2015,49.5%,"106,000",60.9%,"107,000",70.5%,"91,000",100.0*,"142,000",62.1%,"55,000",100.0*,"64,000",100.0*,"111,000",19.2*,"19,000",63.8%,"48,000",100.0*,"103,000",100.0*,"168,000",1.1*,"22,000",-,-,4.6*,"50,000",-,-,3.0*,"23,000",17.4%,"83,000",7.6*,"32,000",6.3%,"16,000",18.0*,"23,000",2.2*,"32,000",39.7%,"146,000",4.6*,"10,000",76.8*,"145,000",26.8%,"263,000",24.4%,"209,000",11.1*,"82,000",12.3*,"62,000",26.0%,"118,000",25.0*,"62,000",14.0*,"18,000",48.5%,"67,000",6.3*,"52,000",12.9*,"57,000",14.1*,"37,000",54.9%,"147,000",28.2%,"116,000",12.0*,"6,000",1.3*,"128,000",-,-,5.8%,"184,000",16.9%,"343,000",7.5%,"172,000",36.4%,"67,000",9.9%,"3,784,000"
Rural,-2016,50.9%,"120,000",68.4%,"113,000",65.8%,"81,000",100.0*,"169,000",65.9%,"61,000",100.0*,"58,000",100.0*,"116,000",28.6*,"27,000",42.7%,"27,000",100.0*,"88,000",100.0*,"171,000",0.4*,"7,000",-,-,9.0*,"105,000",-,-,3.1*,"23,000",16.4*,"85,000",11.3*,"44,000",1.0*,"2,000",9.9*,"15,000",5.2*,"74,000",22.2*,"90,000",10.6*,"24,000",80.5*,"149,000",23.4%,"212,000",26.6%,"244,000",17.2*,"119,000",9.2%,"48,000",24.0%,"119,000",22.0*,"62,000",17.9*,"21,000",49.3%,"77,000",5.0*,"41,000",9.4*,"39,000",23.2*,"65,000",46.7%,"141,000",25.4%,"101,000",13.5*,"7,000",1.0*,"99,000",0.3*,"8,000",5.4%,"173,000",13.3%,"286,000",7.9%,"189,000",23.7%,"41,000",9.7%,"3,741,000"
Rural,-2017,52.0*,"115,000",69.3%,"122,000",49.2%,"65,000",100.0*,"135,000",74.5*,"65,000",100.0*,"64,000",100.0*,"115,000",34.0*,"33,000",30.1%,"23,000",100.0*,"97,000",100.0*,"178,000",1.2*,"23,000",0.2*,"4,000",8.3%,"94,000",-,-,6.6*,"50,000",21.2*,"104,000",7.6*,"32,000",6.8*,"17,000",10.2*,"14,000",4.7*,"70,000",35.6%,"134,000",13.0*,"28,000",53.7%,"99,000",22.7%,"221,000",19.5*,"165,000",9.5*,"70,000",7.7*,"42,000",23.6%,"110,000",43.5%,"117,000",17.8*,"25,000",37.9%,"56,000",4.5*,"38,000",8.1*,"35,000",25.6*,"68,000",44.1%,"115,000",29.5%,"123,000",11.0*,"6,000",1.0*,"103,000",-,-,6.1%,"195,000",18.0%,"381,000",17.5%,"409,000",27.6*,"49,000",10.4%,"4,008,000"
